Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,2,50,0.222936512,0.8747,49.89705882,14.38363267,0.012390109,0.002452022,0.141887804,0.05241067,nan,nan,nan,nan,nan,nan,14.99816397
distributed,1,2,70,0.2231773,0.874,68.73149062,18.52268457,0.011961254,0.003194493,0.153537654,0.058069743,nan,nan,nan,nan,nan,nan,15.3690168
distributed,1,2,100,0.22306787,0.8732,97.94460641,32.33709171,0.012901856,0.000986529,0.118351482,0.044020236,nan,nan,nan,nan,nan,nan,14.98902531
distributed,1,3,-1,0.228702738,0.8664,8.864476386,2.961157802,0.013283156,0.003057653,0.134983131,0.055095202,16.46245289,10.10248677,1.198469836,0.236241872,0.826567828,0.330590903,15.09268303
distributed,1,3,1,0.248345515,0.8425,1,0,0.013114451,0.007196234,0.138048847,0.055305671,nan,nan,nan,nan,nan,nan,14.96516653
distributed,1,3,2,0.235232943,0.8541,1.989130435,0.145061694,0.013001943,0.005289584,0.135273889,0.057029361,nan,nan,nan,nan,nan,nan,14.97815579
distributed,1,3,3,0.22941352,0.8623,2.986062718,0.284207191,0.012832579,0.004284644,0.116068008,0.055615176,nan,nan,nan,nan,nan,nan,14.95054517
distributed,1,3,5,0.228222275,0.8652,4.977591036,0.652952071,0.013368539,0.003109208,0.142788698,0.049687841,nan,nan,nan,nan,nan,nan,15.14946832
distributed,1,3,7,0.227308338,0.8668,6.964523282,0.94681817,0.013109733,0.002471717,0.136910927,0.044913954,nan,nan,nan,nan,nan,nan,14.9625904
distributed,1,3,10,0.227078233,0.8687,9.945848375,1.483882839,0.013408586,0.00267255,0.134200633,0.058748815,nan,nan,nan,nan,nan,nan,14.92837645
distributed,1,3,20,0.228499474,0.8671,19.94878706,4.190876412,0.01323697,0.00163723,0.139999743,0.055576227,nan,nan,nan,nan,nan,nan,15.15652963
distributed,1,3,30,0.22924418,0.8681,29.7957497,6.641703262,0.013297693,0.001474424,0.127702107,0.04870831,nan,nan,nan,nan,nan,nan,15.05615812
distributed,1,3,50,0.232330927,0.8682,49.39562842,12.91462349,0.013939472,0.002509431,0.136071904,0.047515385,nan,nan,nan,nan,nan,nan,15.01538866
distributed,1,3,70,0.23801798,0.8673,69.85947047,22.81960506,0.012880334,0.003490325,0.136453435,0.065465046,nan,nan,nan,nan,nan,nan,15.22893392
distributed,1,3,100,0.243885633,0.8619,98.99192735,28.31785349,0.013073174,0.00134661,0.125557751,0.061004048,nan,nan,nan,nan,nan,nan,14.63607508
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.24698656,0.8466,16.3553719,7.17565328,0.014072457,0.002040351,0.128984181,0.035082727,11.92032837,3.422652939,0.627874364,0.121041151,0.307548724,0.164658984,2.939346865
,,,,0.230422984,0.864094805,,,,,,,,,,,,,1217.372486
