Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,3,2,0.234903772,0.8558,1.989247312,0.144304893,0.012928409,0.005159935,0.133083083,0.048026566,nan,nan,nan,nan,nan,nan,14.93069424
distributed,0,3,3,0.230257775,0.8607,2.984962406,0.294811092,0.013040097,0.003881846,0.129894407,0.052395958,nan,nan,nan,nan,nan,nan,15.13405819
distributed,0,3,5,0.227238696,0.8663,4.979848866,0.620731116,0.012832081,0.002998894,0.122340631,0.055371971,nan,nan,nan,nan,nan,nan,15.01394987
distributed,0,3,7,0.226959245,0.8682,6.974895397,0.999591753,0.012724675,0.002741594,0.127425039,0.047721227,nan,nan,nan,nan,nan,nan,15.0366856
distributed,0,3,10,0.226852854,0.8687,9.956063269,1.195637134,0.013137898,0.002455754,0.129297832,0.05964457,nan,nan,nan,nan,nan,nan,14.90335496
distributed,0,3,20,0.228015223,0.8689,19.85013624,3.212682624,0.013183036,0.001714576,0.138969315,0.057611795,nan,nan,nan,nan,nan,nan,14.93535448
distributed,0,3,30,0.230043374,0.8689,29.69806763,5.721021171,0.013003916,0.00161089,0.142273374,0.04969168,nan,nan,nan,nan,nan,nan,14.98104378
distributed,0,3,50,0.233847437,0.8681,49.75395987,10.66899714,0.013404039,0.001945211,0.13004427,0.039314592,nan,nan,nan,nan,nan,nan,14.91805732
distributed,0,3,70,0.234774335,0.8673,69.60040568,22.16944688,0.0138839,0.002648486,0.126519673,0.050430135,nan,nan,nan,nan,nan,nan,15.09116201
distributed,0,3,100,0.237934062,0.8658,97.68273867,31.20218564,0.012798213,0.000643796,0.150364777,0.041553,nan,nan,nan,nan,nan,nan,15.08007737
distributed,1,0,-1,0.223063917,0.8728,33.69423559,13.73705451,0.013638198,0.00137482,0.141221755,0.05455651,6.765315878,2.930331632,0.49225863,0.113718155,0.169613667,0.143704712,15.00168922
