Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,2,7,0.226244973,0.8701,6.972477064,1.043955818,0.013331743,0.002897807,0.145051955,0.053611541,nan,nan,nan,nan,nan,nan,15.2023187
distributed,1,2,10,0.224656807,0.8689,9.96797153,1.642190469,0.013193787,0.002590856,0.1367672,0.064680777,nan,nan,nan,nan,nan,nan,15.24805066
distributed,1,2,20,0.223727855,0.8719,19.8489011,3.63843746,0.012927137,0.002300088,0.137104284,0.049339096,nan,nan,nan,nan,nan,nan,14.82403361
distributed,1,2,30,0.223325649,0.8737,29.87414188,6.883450723,0.013062984,0.001284288,0.118173455,0.059259081,nan,nan,nan,nan,nan,nan,15.01359779
distributed,1,2,50,0.223339411,0.8748,49.5031185,13.00775976,0.013020064,0.001046207,0.135892778,0.055077809,nan,nan,nan,nan,nan,nan,15.2026708
distributed,1,2,70,0.222847321,0.8731,69.37575758,21.54319788,0.013433756,0.002065169,0.130867565,0.047546928,nan,nan,nan,nan,nan,nan,14.89978223
distributed,1,2,100,0.223564524,0.8761,97.70849421,31.33776564,0.013635633,0.002197833,0.119362916,0.067679785,nan,nan,nan,nan,nan,nan,14.96415233
distributed,1,3,-1,0.223258656,0.8719,98.72189349,45.86763565,0.012295662,0.002174994,0.128991728,0.070212225,1.00E-05,0,2.89E-17,1.66E-17,0,0,14.89876155
distributed,1,3,1,0.246727445,0.8443,1,0,0.014084965,0.006787539,0.126660779,0.055111556,nan,nan,nan,nan,nan,nan,14.91904886
distributed,1,3,2,0.233963474,0.8563,1.989690722,0.141391903,0.012451778,0.004647397,0.129226211,0.047979098,nan,nan,nan,nan,nan,nan,15.07888655
distributed,1,3,3,0.230980296,0.8622,2.984435798,0.299733444,0.012622159,0.003352154,0.136546033,0.059276008,nan,nan,nan,nan,nan,nan,15.11497879
distributed,1,3,5,0.226935058,0.8668,4.979057592,0.63224759,0.013679868,0.00290689,0.126916041,0.0509365,nan,nan,nan,nan,nan,nan,15.07944245
distributed,1,3,7,0.225775941,0.8684,6.974895397,0.999591753,0.013044021,0.002485975,0.125485301,0.048489085,nan,nan,nan,nan,nan,nan,15.02319193
distributed,1,3,10,0.224656807,0.8689,9.96797153,1.642190469,0.012876107,0.002281946,0.137123195,0.053089435,nan,nan,nan,nan,nan,nan,15.19148228
distributed,1,3,20,0.223737279,0.8717,19.8372093,3.398406829,0.01310542,0.001415082,0.139949351,0.050224558,nan,nan,nan,nan,nan,nan,14.94455323
distributed,1,3,30,0.223502556,0.8747,29.70230863,6.127461043,0.013314685,0.000928632,0.139796838,0.057235169,nan,nan,nan,nan,nan,nan,14.99562452
distributed,1,3,50,0.223564524,0.8761,49.55626327,10.7559286,0.012543598,0.001781317,0.137533082,0.060629047,nan,nan,nan,nan,nan,nan,14.87952606
distributed,1,3,70,0.223596356,0.8721,68.82690302,17.68791175,0.013209785,0.000986463,0.141824989,0.059242086,nan,nan,nan,nan,nan,nan,14.93373502
distributed,1,3,100,0.223564524,0.8761,97.83139535,31.89827582,0.013089694,0.000888336,0.132492093,0.048571666,nan,nan,nan,nan,nan,nan,14.99127625
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.2240686,0.8714,98.45786517,44.0540577,0.014650257,0.003382508,0.137841403,0.030062486,1.00E-05,0,3.56E-17,1.55E-17,0,0,10.54378752
