case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.1923387428504158,2.56036021232605,0.09869999974966054,nan,nan,nan,1,0.01789575308217912,0.1744429897682367
0,0.3892149199497953,2.40186308224996,0.12330000005662438,57.70136999135085,2.619451430160141,2.1218099651728446,1,0.008308620754648331,0.18856755634473116
0,0.5132152728073172,2.0751380809148166,0.2621999998390674,57.14929470141796,2.5607324195189762,2.05218203186957,5,0.010818962131600805,0.06990554219951789
0,0.7295726957439366,1.8934998959302918,0.397599998563528,48.018476428597154,2.667705085491446,1.3341808585767085,5,0.011514023934080145,0.15878730326621876
0,0.9719729619428535,1.7686261636018734,0.4717999958992003,55.602535573164914,2.831693855736382,1.3272439639478397,4,0.015201004768752406,0.18159624712390737
0,1.1315461395912714,1.6199373159805914,0.5414999997615814,42.39024046044721,1.9745962621836302,0.9526223384062775,5,0.013606262576187666,0.09154186476747944
0,1.4182308229199323,1.4348435864845916,0.6096000003814698,50.31235152026406,2.340898677214873,1.103094691908936,7,0.015145839997646099,0.18066380334513826
0,1.597146177078049,1.308467972477277,0.6661000007390974,63.98339974870405,2.4317207753785333,0.8865446146369531,5,0.013160806014876542,0.11311132408373396
0,1.81403812200028,1.1962866543730097,0.6880999988317491,56.45583070793821,2.0649692045860193,0.8894905888897919,6,0.013120862296830288,0.13816677114124906
0,1.994584261915452,1.0908826423684777,0.7262000018358228,61.32343757696246,2.0036893950565124,0.5960224940719061,5,0.009348592870972923,0.1338031755603073
0,2.213366537218025,0.9976106310884161,0.7448000025749208,63.62115109535894,1.8640949989945208,0.6746248991498595,6,0.012840876312836766,0.1417370174255523
0,2.2919146740561542,0.9126520715157188,0.7711999994516369,59.911521937746805,1.9436518008229264,0.4505056194693893,5,0.011026039763258813,0.023417938021835102
0,2.53125664176942,0.8420117094119389,0.7915000027418135,91.69551166717771,2.036145126437879,0.3536946800421391,6,0.012504788358902388,0.16431323755985128
0,2.7395636997006103,0.8189631647368274,0.7919999998807907,86.70854336262666,1.9297212395859464,0.32745716593481283,3,0.016364111907946215,0.15921472220735183
0,2.853151050328118,0.7641043464342755,0.7927999997138974,70.02517009880883,2.191053383570947,0.9598493672267462,6,0.011502249797775877,0.04457385184085237
0,3.0683171110736525,0.7110097145537535,0.8185999983549117,70.52418940717727,1.9984658215010296,0.6348419813303672,5,0.016192791338381106,0.13420210405362862
0,3.320611587820938,0.682958441674709,0.8239000010490418,105.81873910097246,2.287553565595644,0.4301378681468935,4,0.011604000714786367,0.20587847388814012
0,3.610240093048912,0.6434443760911632,0.8391999989748,88.88594163287286,2.435985476497916,0.670665626594007,5,0.01726772549897477,0.20328987773309998
0,3.728419263577143,0.6553352818389735,0.8189999991655349,68.49601404926872,1.7186861662861368,0.4521069161227637,5,0.012679827152782736,0.054780034764317545
0,4.029118241267877,0.6233164934813975,0.8269999980926515,81.7269078336323,2.1065413119199703,1.0619107883933585,7,0.012668915220751099,0.2120165711454767
0,4.253189298380915,0.5699231369545062,0.8557999992370604,98.37581926957124,2.656242712159566,1.0175488227316323,3,0.013613879915190585,0.18322941736746604
0,4.468893909913794,0.5781860673427585,0.8345999997854231,116.76415090726992,1.812667400687688,0.9132484651000566,5,0.013621703900896256,0.14759609202839652
0,4.641954366923326,0.5513303408026697,0.8458000010252,78.56998363459253,2.0189394136833396,0.7848918756869047,4,0.010785901763368294,0.12991684995605837
0,4.891021073231045,0.5275574807822706,0.8592999994754787,80.20208005792001,1.9064417588083165,0.6358099572651833,5,0.015419078169952864,0.1719713154579547
0,5.034487752004849,0.4994737764199578,0.8742000013589852,88.56035798381636,1.8694670884848317,0.4331413340672346,5,0.015429004461138507,0.06632165646811143
0,5.260503271147694,0.48415207135180643,0.8737000030279162,77.62515868812993,2.1322678925973566,0.7393120614776448,6,0.008311829495116642,0.1761445421721451
0,5.484213133232665,0.477881605500976,0.8768999999761578,76.73726402816506,1.7412127942604216,0.32418217496420315,4,0.016119104573373812,0.15923344379147666
0,5.595239414306976,0.46780977264046686,0.8776999992132185,90.35564533074124,1.7513774521902936,0.4279977668045216,6,0.01850438016238505,1e-10
0,5.666088736104888,0.4863863447556887,0.8577999991178512,82.33683487514101,2.1306288368927193,0.6027246912446417,6,0.008298162694078733,0.021060345633440475
0,5.701259888663907,0.4434669225662948,0.8815999984741211,74.07111168789669,2.0049761686273517,0.8281309202008741,1,0.0057195643972125405,0.02945158816180607
0,5.874432635988484,0.43995616152882594,0.886499999165535,106.35498425741363,1.8730247540638016,0.9560995584212888,2,0.0036330985647654622,0.1659065501950459
0,6.029301819204732,0.4306327263514203,0.8901000010967254,118.43796155634276,2.163418650217545,0.705501691751551,2,0.011294715605896247,0.13227975200445544
